TYPE,INDICATOR,CREATED
hash,e739aa7dda183b2a39bd2b27e5a4bf055d149e78d2c1f7f71c103b7f0e54ac8b,9/17/2020 14:22
hash,279f334ec8521dfec80cfc186e709f88c88a030515024c9ef16f7063aec9dbbb,9/17/2020 14:22
hostname,uniengrisb.com,9/17/2020 14:22
hostname,jgcest.com,9/17/2020 14:22
hostname,pichostfrm.net,9/17/2020 14:22
hostname,wcsvclaunch.net,9/17/2020 14:22
hostname,dcomlaunchservice.net,9/17/2020 14:22
hostname,snsrsvchost.net,9/17/2020 14:22
ip,147.32.83.234,5/1/2021 2:22
email,stratosphere@aic.fel.cvut.cz,5/1/2021 2:22
hostname,www.civilsphereproject.org,5/1/2021 2:22
hash,8aff67a6b4f3e398b912f8405beb5319,5/1/2021 2:22
hash,8003dca1ece8b82419f916e81b1ed368,5/1/2021 2:22
hash,7ac0421755ed01fb2203dc85fc19374a,5/1/2021 2:22
cve,CVE-2017-8750,5/1/2021 2:22
hash,06cdba329eaa9abfb7be548f0927b3bd50cf9c9f446d5c0665b1df70b2d6440b,5/7/2021 10:16
hash,e50d53b9e5c37c037d3d209bbbedb9a3d04c0476d87e12f63d1d5405837cf861,5/7/2021 10:16
hash,88e8e4ff540fb881d1300f9759026904,5/7/2021 10:16
hash,83c90e931a1a9b249b2f9ce8bf5ecd0b,5/7/2021 10:16
hash,6e83b72fcb0abf9e65a48d405f739e93,5/7/2021 10:16
hash,695a9f7bb0d7ecb810fe8a3dbe90a173,5/7/2021 10:16
hash,667452e44935325c2b20a3d7204efe3b,5/7/2021 10:16
hash,3170ea805a0f216c21c554bb576e75fb,5/7/2021 10:16
hash,72951851eb3f1601be564a60a60a7b22,10/20/2021 16:43
hash,4f755deb15db00f52755760ae4d907aa,10/20/2021 16:43
hash,160610cd728a06b86cf5ac08b62c62a3,10/20/2021 16:43
hash,056ca31a3a93b1776622ec1b08b33b29,10/20/2021 16:43
ip,45.11.19.170,10/20/2021 16:43
hash,34182232200718be91a1b683112f8e44c1ee75bf3b11e2c055de68d990e0dd92,10/20/2021 16:43
hash,ea403fb801e31c858d82fc230070e296b1c4a404c4aced1582748130301a1d95,10/20/2021 16:43
hash,ac19b7f447357d84241e3067d7ad24a4056a7322b715e4c3f1518b56030c65ce,5/4/2022 22:16
hash,5d6c176341db385db8e279629a038781c08e15e33e052ac4c26ad58457871e4e,5/4/2022 22:16
hash,67a11f42f5e9ca4b5f2e906b34492bdc91b5ea57,5/4/2022 22:16
hash,2c6172a92e005d747c895d345cab705f1b3b6298,5/4/2022 22:16
hash,76eb35ff99b9962a8a7775f201b432ab,5/4/2022 22:16
hash,3f9c1455992239f4efe31f0e56773433,5/4/2022 22:16
ip,185.112.83.228,5/4/2022 22:16
cve,CVE-2018-0798,5/11/2022 18:04
cve,CVE-2017-11882,5/11/2022 18:04
hostname,vdsappauthservice.net,9/17/2020 14:22
hostname,tusdec.org.pk,9/17/2020 14:22
email,support@chaatchitt.com,5/1/2021 2:22
hostname,zerocros.w64binautoclean.org,5/1/2021 2:22
hostname,eu.blitz.conversations.phone,5/1/2021 2:22
hostname,creativefox.w64binautoclean.org,5/1/2021 2:22
hostname,w64binautoclean.org,5/1/2021 2:22
hostname,thew64binautoclean.org,5/1/2021 2:22
hostname,techfront.com.cn,5/1/2021 2:22
hostname,phoneshieldnet.com,5/1/2021 2:22
hostname,mypicks4u.com,5/1/2021 2:22
hostname,gandharaart.org,5/1/2021 2:22
hostname,flashnewsservice.org,5/1/2021 2:22
hostname,chaatchitt.com,5/1/2021 2:22
ip,23.83.133.67,5/1/2021 2:22
ip,185.27.134.139,5/1/2021 2:22
hash,b99f75ae56d4b1b0703d35371f70387b3be0bcce,5/1/2021 2:22
hash,ba91133e108432e109505147dc03557b1afffb4e,5/1/2021 2:22
hash,b8098837165fa8a36f60b879170e463c9725cb97,5/1/2021 2:22
hash,3643e700dcae962477ac6c24df24ee3e0d033611,5/1/2021 2:22
hash,7d6a20927ee9b94d498c025a0eae2b147ee12677,5/1/2021 2:22
hash,7d47ae3114f08ecf7fb473b7f5571d70cf2556da,5/1/2021 2:22
hash,7313d0f4e99b32d1218a2cabdf6b9a225da38206,5/1/2021 2:22
hash,4e4edb88ad7950234b5aaac84002b4a13f29991b,5/1/2021 2:22
cve,CVE-2021-28310,5/11/2022 18:04
hash,c484368c8900627dcc549f5e494a9bf9ec0b35e0,5/1/2021 2:22
hash,af094b0538baafcc7e8c1027853931d57e26c8c7,5/1/2021 2:22
hash,0f1ea13d9a1c1cf6c35a610bb83c92a81f818a8b,5/1/2021 2:22
hash,0d1c4b9f0bc704169ea5de6c946deb79bd66529d,5/1/2021 2:22
hash,04bd724eddb08c5cd3a37151899bbd1f78f44582,5/1/2021 2:22
hash,b870b01ba7ef98dc6ef935d823bf706b74200ed226b5d7b16269785f037c146e,5/1/2021 2:22
hash,9474520d32ecc2555170582fb892af67a982ae27f23fa05d3c4008ed35e10a4c,5/1/2021 2:22
hash,d35d37ffc2051c7aa5f98090c067ba5d015960c40b2511ac6e8d6b03f82472a5,5/1/2021 2:22
hash,b2adc519cf1a8f8d429fd776d2d99aa2163cfa24f0c935c0ec075393805f9490,5/1/2021 2:22
hash,7ad793b2c586b19753245fc901c3d087ef330804ab1836acba1e1eaaccfd5fb8,5/1/2021 2:22
hash,5a105e005508d5e9a6fb2eab392d096480c2bb32be18fb1694ec5f1e14e90d34,5/1/2021 2:22
hash,3bc782eec12f2a0988f83403c59cb5f8212a2ca9fef8001573aea9a0ae3898ab,5/1/2021 2:22
hash,2adeb42f2174e298645c6df1655661f20564e93c62bb9c514f248187665c9549,5/1/2021 2:22
hash,ff281c84cf10cc8fb40dab1f261523df,5/1/2021 2:22
hash,f92ed513fb83e7418654c4ee2a89bed5,5/1/2021 2:22
hash,f40b2c3faa6a25a3a34e1d187a8d9de5,5/1/2021 2:22
hash,ee85b2657ca5a1798b645d61e8f5080c,5/1/2021 2:22
hash,ea3b4cde5ef86acfe2971345a2d57cc0,5/1/2021 2:22
hash,de931e107d293303dd1ee7e4776d4ec7,5/1/2021 2:22
hash,d7c21a239999e055ef9a08a0e6207552,5/1/2021 2:22
hash,d20c6731e278a1d3202b4caa0902afa8,5/1/2021 2:22
hash,cbb32c303d06aa4d2dba713936e70f5c,5/1/2021 2:22
hash,c789eb63e852eed12758a3d53b5f51c7,5/1/2021 2:22
hash,b1c2124f785d75220be3382aeb091835,5/1/2021 2:22
hash,b0d55ccc06573230f2f74b9e85b5a6c9,5/1/2021 2:22
hash,9edf73b04609e7c3dada1f1807c11a33,5/1/2021 2:22
hash,95c1925c7db67f2686fbbdd333844217,5/1/2021 2:22
hash,6d3dcb9ad491628488feb9de6e092144,5/1/2021 2:22
hash,692ff450aec14aca235cd92e6c52a960,5/1/2021 2:22
hash,68f0fb35fa7ad061b621a6b4c48155b2,5/1/2021 2:22
hash,4987f36c8c90ef2075e41f8a2964754f,5/1/2021 2:22
hash,448b8af1a6757aa5b827b382777ab3de,5/1/2021 2:22
hash,42c2d7aeb8a98df09c624a9605849927,5/1/2021 2:22
hash,3f1e5cb139b50e6cfe2efa583ded83ed,5/1/2021 2:22
hash,39ff842a2c758bf336af852186c1404a,5/1/2021 2:22
hash,38baafcc7e8c1027853931d57e26c8c7,5/1/2021 2:22
hash,1d2e23effc225880cadb7ee56dff25cf,5/1/2021 2:22
hash,0e1db2219402ec254b150a4f6d8b0b02,5/1/2021 2:22
cve,CVE-2017-12824,5/1/2021 2:22
hostname,memrifilesforinfo.pikpro.eu,5/1/2021 2:22
hostname,islamicfinderfeedback.pikrpro.eu,5/1/2021 2:22
hostname,twitck.com,5/1/2021 2:22
hostname,referfile.com,5/1/2021 2:22
hostname,pikrpro.eu,5/1/2021 2:22
hostname,cve201711882.ag,5/1/2021 2:22
hostname,appswonder.info,5/1/2021 2:22
hash,4a898dc093ad73a17d9c0e83402b7e42945148fd,5/1/2021 2:22
hash,dc904082e88d5319acf1845dbb760ce078f00ce2,5/1/2021 2:22
hash,f1a54dca2fdfe59ec3f537148460364fb5d046c9b4e7db5fc819a9732ae0e063,5/1/2021 2:22
hash,434d34c0502910c562f5c6840694737a2c82a8c44004fa58c7c457b08aac17bd,5/1/2021 2:22
hash,c3d93db2aa5aaf4f821548e15d79946e,5/1/2021 2:22
hash,85a39544a37be96b32a5227e8c0642c4,5/1/2021 2:22
hash,8927fd9deaf39b46b29ea81ecbe47c5042d1e084,5/1/2021 2:22
hash,d5ea77d3d24af846b1252311d363ff73b8f50a87,5/1/2021 2:22
hash,06cdba329eaa9abfb7be548f0927b3bd50cf9c9f446d5c0665b1df70b2d6440b,5/1/2021 2:22
hash,e50d53b9e5c37c037d3d209bbbedb9a3d04c0476d87e12f63d1d5405837cf861,5/1/2021 2:22
hash,88e8e4ff540fb881d1300f9759026904,5/1/2021 2:22
hash,83c90e931a1a9b249b2f9ce8bf5ecd0b,5/1/2021 2:22
hash,6e83b72fcb0abf9e65a48d405f739e93,5/1/2021 2:22
hash,695a9f7bb0d7ecb810fe8a3dbe90a173,5/1/2021 2:22
hash,667452e44935325c2b20a3d7204efe3b,5/1/2021 2:22
hash,3170ea805a0f216c21c554bb576e75fb,5/1/2021 2:22
ip,147.32.83.234,5/7/2021 10:16
email,stratosphere@aic.fel.cvut.cz,5/7/2021 10:16
hostname,www.civilsphereproject.org,5/7/2021 10:16
email,support@chaatchitt.com,5/7/2021 10:16
hostname,zerocros.w64binautoclean.org,5/7/2021 10:16
hostname,eu.blitz.conversations.phone,5/7/2021 10:16
hostname,creativefox.w64binautoclean.org,5/7/2021 10:16
hostname,w64binautoclean.org,5/7/2021 10:16
hostname,thew64binautoclean.org,5/7/2021 10:16
hostname,techfront.com.cn,5/7/2021 10:16
hostname,phoneshieldnet.com,5/7/2021 10:16
hostname,mypicks4u.com,5/7/2021 10:16
hostname,gandharaart.org,5/7/2021 10:16
hostname,flashnewsservice.org,5/7/2021 10:16
hostname,chaatchitt.com,5/7/2021 10:16
ip,23.83.133.67,5/7/2021 10:16
ip,185.27.134.139,5/7/2021 10:16
hash,b99f75ae56d4b1b0703d35371f70387b3be0bcce,5/7/2021 10:16
hash,ba91133e108432e109505147dc03557b1afffb4e,5/7/2021 10:16
hash,b8098837165fa8a36f60b879170e463c9725cb97,5/7/2021 10:16
hash,3643e700dcae962477ac6c24df24ee3e0d033611,5/7/2021 10:16
hash,7d6a20927ee9b94d498c025a0eae2b147ee12677,5/7/2021 10:16
hash,7d47ae3114f08ecf7fb473b7f5571d70cf2556da,5/7/2021 10:16
hash,7313d0f4e99b32d1218a2cabdf6b9a225da38206,5/7/2021 10:16
hash,4e4edb88ad7950234b5aaac84002b4a13f29991b,5/7/2021 10:16
hash,c484368c8900627dcc549f5e494a9bf9ec0b35e0,5/7/2021 10:16
hash,af094b0538baafcc7e8c1027853931d57e26c8c7,5/7/2021 10:16
hash,0f1ea13d9a1c1cf6c35a610bb83c92a81f818a8b,5/7/2021 10:16
hash,0d1c4b9f0bc704169ea5de6c946deb79bd66529d,5/7/2021 10:16
hash,04bd724eddb08c5cd3a37151899bbd1f78f44582,5/7/2021 10:16
hash,b870b01ba7ef98dc6ef935d823bf706b74200ed226b5d7b16269785f037c146e,5/7/2021 10:16
hash,9474520d32ecc2555170582fb892af67a982ae27f23fa05d3c4008ed35e10a4c,5/7/2021 10:16
hash,d35d37ffc2051c7aa5f98090c067ba5d015960c40b2511ac6e8d6b03f82472a5,5/7/2021 10:16
hash,b2adc519cf1a8f8d429fd776d2d99aa2163cfa24f0c935c0ec075393805f9490,5/7/2021 10:16
hash,7ad793b2c586b19753245fc901c3d087ef330804ab1836acba1e1eaaccfd5fb8,5/7/2021 10:16
hash,5a105e005508d5e9a6fb2eab392d096480c2bb32be18fb1694ec5f1e14e90d34,5/7/2021 10:16
hash,3bc782eec12f2a0988f83403c59cb5f8212a2ca9fef8001573aea9a0ae3898ab,5/7/2021 10:16
hash,2adeb42f2174e298645c6df1655661f20564e93c62bb9c514f248187665c9549,5/7/2021 10:16
hash,ff281c84cf10cc8fb40dab1f261523df,5/7/2021 10:16
hash,f92ed513fb83e7418654c4ee2a89bed5,5/7/2021 10:16
hash,f40b2c3faa6a25a3a34e1d187a8d9de5,5/7/2021 10:16
hash,ee85b2657ca5a1798b645d61e8f5080c,5/7/2021 10:16
hash,ea3b4cde5ef86acfe2971345a2d57cc0,5/7/2021 10:16
hash,de931e107d293303dd1ee7e4776d4ec7,5/7/2021 10:16
hash,d7c21a239999e055ef9a08a0e6207552,5/7/2021 10:16
hash,d20c6731e278a1d3202b4caa0902afa8,5/7/2021 10:16
hash,cbb32c303d06aa4d2dba713936e70f5c,5/7/2021 10:16
hash,c789eb63e852eed12758a3d53b5f51c7,5/7/2021 10:16
hash,b1c2124f785d75220be3382aeb091835,5/7/2021 10:16
hash,b0d55ccc06573230f2f74b9e85b5a6c9,5/7/2021 10:16
hash,9edf73b04609e7c3dada1f1807c11a33,5/7/2021 10:16
hash,95c1925c7db67f2686fbbdd333844217,5/7/2021 10:16
hash,8aff67a6b4f3e398b912f8405beb5319,5/7/2021 10:16
hash,8003dca1ece8b82419f916e81b1ed368,5/7/2021 10:16
hash,7ac0421755ed01fb2203dc85fc19374a,5/7/2021 10:16
hash,6d3dcb9ad491628488feb9de6e092144,5/7/2021 10:16
hash,692ff450aec14aca235cd92e6c52a960,5/7/2021 10:16
hash,68f0fb35fa7ad061b621a6b4c48155b2,5/7/2021 10:16
hash,4987f36c8c90ef2075e41f8a2964754f,5/7/2021 10:16
hash,448b8af1a6757aa5b827b382777ab3de,5/7/2021 10:16
cve,CVE-2018-0802,5/11/2022 18:04
hash,42c2d7aeb8a98df09c624a9605849927,5/7/2021 10:16
hash,3f1e5cb139b50e6cfe2efa583ded83ed,5/7/2021 10:16
hash,39ff842a2c758bf336af852186c1404a,5/7/2021 10:16
hash,38baafcc7e8c1027853931d57e26c8c7,5/7/2021 10:16
hash,1d2e23effc225880cadb7ee56dff25cf,5/7/2021 10:16
hash,0e1db2219402ec254b150a4f6d8b0b02,5/7/2021 10:16
cve,CVE-2017-8750,5/7/2021 10:16
cve,CVE-2017-12824,5/7/2021 10:16
hostname,memrifilesforinfo.pikpro.eu,5/7/2021 10:16
hostname,islamicfinderfeedback.pikrpro.eu,5/7/2021 10:16
hostname,twitck.com,5/7/2021 10:16
hostname,referfile.com,5/7/2021 10:16
hostname,pikrpro.eu,5/7/2021 10:16
hostname,cve201711882.ag,5/7/2021 10:16
hostname,appswonder.info,5/7/2021 10:16
hash,4a898dc093ad73a17d9c0e83402b7e42945148fd,5/7/2021 10:16
hash,dc904082e88d5319acf1845dbb760ce078f00ce2,5/7/2021 10:16
hash,f1a54dca2fdfe59ec3f537148460364fb5d046c9b4e7db5fc819a9732ae0e063,5/7/2021 10:16
hash,434d34c0502910c562f5c6840694737a2c82a8c44004fa58c7c457b08aac17bd,5/7/2021 10:16
hash,c3d93db2aa5aaf4f821548e15d79946e,5/7/2021 10:16
hash,85a39544a37be96b32a5227e8c0642c4,5/7/2021 10:16
hash,8927fd9deaf39b46b29ea81ecbe47c5042d1e084,5/7/2021 10:16
hash,d5ea77d3d24af846b1252311d363ff73b8f50a87,5/7/2021 10:16
hostname,olmajhnservice.com,9/20/2021 17:11
hash,3e2b72c3769b7e2ddc57326e0fbad1e182a18bd20a081361b1ad98e5cf4da0d1,9/20/2021 17:11
hash,88758b75990f566f5c099fc23a6c9ade1ce90bd9,9/20/2021 17:11
hash,be9bd8ed8a4c052be5cedb0266f50c0d,9/20/2021 17:11
hostname,youxiangxiezhu.com,10/20/2021 16:43
hostname,nesiallservice.net,10/20/2021 16:43
hostname,axopcustomersvc.com,10/20/2021 16:43
hash,35bb3065f32f1bbe6e455dbc8e2ff78d8a63bb391d9e4877813eb80c649e60d5,10/20/2021 16:43
hash,d4ec766b60d50ca0ccaef85b70b631e3aa6f227a,10/20/2021 16:43
hash,df606c271baa78540f0557f2a0fa4d63,10/20/2021 16:43
hash,d91b888205ac1ca80c40426b9f5a6105,10/20/2021 16:43
hash,c816c73f9da083ece3e901694675fb75,10/20/2021 16:43
hash,ad5c4ce77a40e9f90b622e1a7afd359f,10/20/2021 16:43
hash,ab602191e08ea8b9b18b40728252048a,10/20/2021 16:43
hash,a2f803dd70c5f10ccb9b8412445f994c,10/20/2021 16:43
hash,9d8d2f6de547dc92137b5194c55e9a3c,10/20/2021 16:43
hash,7abf5b34b8ec15aaecbddec4ae452ca2,10/20/2021 16:43
hash,ee2d53303e2c5a2787dad11e3a0abce5ea0ff9a4219e963e69a4054a11efc628,11/17/2021 16:05
hash,914b6125f6e39168805fdf57be61cf20dd11acd708d7db7fa37ff75bf1abfc29,11/17/2021 16:05
hash,e677283509c6447ef2837bb783f1c267fb31a1a0,11/17/2021 16:05
hash,53262049574e793aa20f15af972e8e26439f039f,11/17/2021 16:05
hash,ac8a521a56ed5f4ef2004d77668c14d0,11/17/2021 16:05
hash,3fa80ba8a7c14c1cdadff605aa884d50,11/17/2021 16:05
hostname,helpdesk.autodefragapp.com,5/11/2022 18:04
email,so.dc@pc.gov.pk,5/11/2022 18:04
email,mem_psd@pc.gov.pk,5/11/2022 18:04
email,ddscm2@pof.gov.pk,5/11/2022 18:04
email,chief_pia@pc.gov.pk,5/11/2022 18:04
email,arc@desto.gov.pk,5/11/2022 18:04
hostname,urocakpmpanel.com,5/11/2022 18:04
hostname,tomcruefrshsvc.com,5/11/2022 18:04
hostname,olmajhnservice.com,5/11/2022 18:04
hostname,mswsceventlog.net,5/11/2022 18:04
hostname,autodefragapp.com,5/11/2022 18:04
hash,f7ed5eec6d1869498f2fca8f989125326b2d8cee8dcacf3bc9315ae7566963db,5/11/2022 18:04
hash,e4545764e0c54ed1e1321a038fa2c1921b5b70a591c95b24127f1b9de7212af8,5/11/2022 18:04
hash,ce922a20a73182c18101dae7e5acfc240deb43c1007709c20ea74c1dd35d2b12,5/11/2022 18:04
hash,b7765ff16309baacff3b19d1a1a5dd7850a1640392f64f19353e8a608b5a28c5,5/11/2022 18:04
hash,90fd32f8f7b494331ab1429712b1735c3d864c8c8a2461a5ab67b05023821787,5/11/2022 18:04
hash,69b397400043ec7036e23c225d8d562fdcd3be887f0d076b93f6fcaae8f3dd61,5/11/2022 18:04
hash,490e9582b00e2622e56447f76de4c038ae0b658a022e6bc44f9eb0ddf0720de6,5/11/2022 18:04
hash,3fdf291e39e93305ebc9df19ba480ebd60845053b0b606a620bf482d0f09f4d3,5/11/2022 18:04
hash,bcd7a2191af9ddb1bd627e36a55fc55680e36f51,5/11/2022 18:04
hash,b17f0381fc7e4c4c6bb15dfcc0c37d2945266c6e,5/11/2022 18:04
hash,aeb02ac0c0f0793651f32a3c0f594ce79ba99e82,5/11/2022 18:04
hash,7a94a3dcd68792877a4ca8747e23ec084b12da16,5/11/2022 18:04
hash,5a972665b590cc77dcdfb4500c04acda5dc1cc4e,5/11/2022 18:04
hash,530f597666afc147886f5ad651b5071d0cc894ba,5/11/2022 18:04
hash,4fbde39a0735d1ad757038072cf541dfdc65faa3,5/11/2022 18:04
hash,3ba50221785aa8d1f2dea2894fc9a9449e826724,5/11/2022 18:04
hash,33f7efb563052da4d25405dd7f0366bb3bff5b26,5/11/2022 18:04
hash,25092b60d972e574ed593a468564de2394fa008b,5/11/2022 18:04
hash,0cbf8c7ff9faf01a9b5c3874e9a9d49cbbf5037b,5/11/2022 18:04
hash,04a75df9b60290efb1a2d934570ad203a23f4e9c,5/11/2022 18:04
hash,5e5201514800509b2e75a3fcffad7405,5/11/2022 18:04
hash,527dc131149644af439e0e8f96a2c4eb,5/11/2022 18:04
hash,2c8ed4045b76a1eca8c8d0161a4b65ec,5/11/2022 18:04
hash,2a340b72e16fb1ece13d7f553ec3c266,5/11/2022 18:04
hash,2454a5b5f7793d372c96fd572c1de2cc,5/11/2022 18:04
hash,fa0ed2faa3da831976fee90860ac39d50484b20bee692ce7f0ec35a15670fa92,5/11/2022 18:04
hash,b0b687977eee41ee7c3ed0d9d179e8c00181f0c0db64eebc0005a5c6325e8a82,5/11/2022 18:04
hash,b12e459dd3857f5379ac99e48def4ad2b8a3aa16,5/11/2022 18:04
hash,2360e4cff14fbfb2af6c80dbd7028d682fe2634e,5/11/2022 18:04
hash,bdbbd70229591fb1102365f4bb22196b,5/11/2022 18:04
hash,b9025eca96614a473e204e9e8a873e1d,5/11/2022 18:04
hostname,levarisnetqlsvc.net,5/11/2022 18:04
hostname,helpdesk.autodefragapp.com,5/12/2022 4:59
email,so.dc@pc.gov.pk,5/12/2022 4:59
email,mem_psd@pc.gov.pk,5/12/2022 4:59
email,ddscm2@pof.gov.pk,5/12/2022 4:59
email,chief_pia@pc.gov.pk,5/12/2022 4:59
email,arc@desto.gov.pk,5/12/2022 4:59
hostname,urocakpmpanel.com,5/12/2022 4:59
hostname,tomcruefrshsvc.com,5/12/2022 4:59
hostname,olmajhnservice.com,5/12/2022 4:59
hostname,mswsceventlog.net,5/12/2022 4:59
hostname,autodefragapp.com,5/12/2022 4:59
hash,f7ed5eec6d1869498f2fca8f989125326b2d8cee8dcacf3bc9315ae7566963db,5/12/2022 4:59
hash,e4545764e0c54ed1e1321a038fa2c1921b5b70a591c95b24127f1b9de7212af8,5/12/2022 4:59
hash,ce922a20a73182c18101dae7e5acfc240deb43c1007709c20ea74c1dd35d2b12,5/12/2022 4:59
hash,b7765ff16309baacff3b19d1a1a5dd7850a1640392f64f19353e8a608b5a28c5,5/12/2022 4:59
hash,90fd32f8f7b494331ab1429712b1735c3d864c8c8a2461a5ab67b05023821787,5/12/2022 4:59
hash,69b397400043ec7036e23c225d8d562fdcd3be887f0d076b93f6fcaae8f3dd61,5/12/2022 4:59
hash,490e9582b00e2622e56447f76de4c038ae0b658a022e6bc44f9eb0ddf0720de6,5/12/2022 4:59
hash,3fdf291e39e93305ebc9df19ba480ebd60845053b0b606a620bf482d0f09f4d3,5/12/2022 4:59
hash,bcd7a2191af9ddb1bd627e36a55fc55680e36f51,5/12/2022 4:59
hash,b17f0381fc7e4c4c6bb15dfcc0c37d2945266c6e,5/12/2022 4:59
hash,aeb02ac0c0f0793651f32a3c0f594ce79ba99e82,5/12/2022 4:59
hash,7a94a3dcd68792877a4ca8747e23ec084b12da16,5/12/2022 4:59
hash,5a972665b590cc77dcdfb4500c04acda5dc1cc4e,5/12/2022 4:59
hash,530f597666afc147886f5ad651b5071d0cc894ba,5/12/2022 4:59
hash,4fbde39a0735d1ad757038072cf541dfdc65faa3,5/12/2022 4:59
hash,3ba50221785aa8d1f2dea2894fc9a9449e826724,5/12/2022 4:59
hash,33f7efb563052da4d25405dd7f0366bb3bff5b26,5/12/2022 4:59
hash,25092b60d972e574ed593a468564de2394fa008b,5/12/2022 4:59
hash,0cbf8c7ff9faf01a9b5c3874e9a9d49cbbf5037b,5/12/2022 4:59
hash,04a75df9b60290efb1a2d934570ad203a23f4e9c,5/12/2022 4:59
hash,5e5201514800509b2e75a3fcffad7405,5/12/2022 4:59
hash,527dc131149644af439e0e8f96a2c4eb,5/12/2022 4:59
hash,2c8ed4045b76a1eca8c8d0161a4b65ec,5/12/2022 4:59
hash,2a340b72e16fb1ece13d7f553ec3c266,5/12/2022 4:59
hash,2454a5b5f7793d372c96fd572c1de2cc,5/12/2022 4:59
cve,CVE-2021-28310,5/12/2022 4:59
cve,CVE-2018-0802,5/12/2022 4:59
cve,CVE-2018-0798,5/12/2022 4:59
cve,CVE-2017-11882,5/12/2022 4:59
hash,fa0ed2faa3da831976fee90860ac39d50484b20bee692ce7f0ec35a15670fa92,5/12/2022 4:59
hash,b0b687977eee41ee7c3ed0d9d179e8c00181f0c0db64eebc0005a5c6325e8a82,5/12/2022 4:59
hash,b12e459dd3857f5379ac99e48def4ad2b8a3aa16,5/12/2022 4:59
hash,2360e4cff14fbfb2af6c80dbd7028d682fe2634e,5/12/2022 4:59
hash,bdbbd70229591fb1102365f4bb22196b,5/12/2022 4:59
hash,b9025eca96614a473e204e9e8a873e1d,5/12/2022 4:59
hostname,levarisnetqlsvc.net,5/12/2022 4:59
hostname,helpdesk.autodefragapp.com,5/12/2022 6:35
email,so.dc@pc.gov.pk,5/12/2022 6:35
email,mem_psd@pc.gov.pk,5/12/2022 6:35
email,ddscm2@pof.gov.pk,5/12/2022 6:35
email,chief_pia@pc.gov.pk,5/12/2022 6:35
email,arc@desto.gov.pk,5/12/2022 6:35
hostname,urocakpmpanel.com,5/12/2022 6:35
hostname,tomcruefrshsvc.com,5/12/2022 6:35
hostname,olmajhnservice.com,5/12/2022 6:35
hostname,mswsceventlog.net,5/12/2022 6:35
hostname,autodefragapp.com,5/12/2022 6:35
hash,f7ed5eec6d1869498f2fca8f989125326b2d8cee8dcacf3bc9315ae7566963db,5/12/2022 6:35
hash,e4545764e0c54ed1e1321a038fa2c1921b5b70a591c95b24127f1b9de7212af8,5/12/2022 6:35
hash,ce922a20a73182c18101dae7e5acfc240deb43c1007709c20ea74c1dd35d2b12,5/12/2022 6:35
hash,b7765ff16309baacff3b19d1a1a5dd7850a1640392f64f19353e8a608b5a28c5,5/12/2022 6:35
hash,90fd32f8f7b494331ab1429712b1735c3d864c8c8a2461a5ab67b05023821787,5/12/2022 6:35
